ID,Module,Type,Requirement,Screen Route,Backend API Requirement,Test Case Summary,Status,Build Phase,Gate
M05-UI-003,M05 Regulatory,UI,Jurisdiction and topic filters,/regulatory-updates,Filter API,Filters return correct updates,PARTIAL,Phase C,Gate C
M05-UI-004,M05 Regulatory,UI,Impact assessment form,/regulatory-updates review,POST /regulatory-updates/:id/impact,CO submits impact; saved and viewable,PARTIAL,Phase C,Gate C
M05-UI-005,M05 Regulatory,UI,"Status: reviewed action required implemented",/regulatory-updates,PATCH /regulatory-updates/:id/status,Status workflow enforced,PARTIAL,Phase C,Gate C
M05-UI-006,M05 Regulatory,UI,Email/SMS alerts for subscribed topics,Subscription settings,PUT subscriptions; email/SMS service,Subscriber receives alert on matching update,FAIL,Phase C,Gate C
M05-UI-007,M05 Regulatory,UI,Update history log,/regulatory-updates,GET /regulatory-updates/:id/history,Immutable log of all changes to update,FAIL,Phase C,Gate C
M05-UI-008,M05 Regulatory,UI,Integration with knowledge base,/regulatory-updates,related_document_id FK,Link regulation update to KB document,PARTIAL,Phase C,Gate C
M05-FEAT-001,M05 Regulatory,Feature,Automated regulatory monitoring (manual or API),N/A,Integration sync and manual CRUD,New gazette entry appears in feed,FAIL,Phase C,Gate C
M05-FEAT-002,M05 Regulatory,Feature,Categorized alerts with impact assessment,N/A,Category and impact on create,High-impact update flagged,PARTIAL,Phase C,Gate C
M05-FEAT-003,M05 Regulatory,Feature,Status tracking per update,N/A,State machine,Invalid status transitions rejected,PARTIAL,Phase C,Gate C
M05-FEAT-004,M05 Regulatory,Feature,User subscription by jurisdiction/topic,N/A,update_subscriptions table,User subscribes and gets only matching alerts,PARTIAL,Phase C,Gate C
M05-FEAT-005,M05 Regulatory,Feature,Email/SMS for critical changes,N/A,Notification service priority routing,Critical update triggers SMS within 5 min,FAIL,Phase C,Gate C
M05-FEAT-006,M05 Regulatory,Feature,Integration with legal knowledge base,N/A,Auto-create or link KB doc on implement,Implemented update linked to KB entry,FAIL,Phase C,Gate C
M06-UI-001,M06 Contracts,UI,Document library with folders,/contracts,GET /folders; GET /contracts,Folder tree navigable,PARTIAL,Phase D,Gate D
M06-UI-002,M06 Contracts,UI,"Contract templates (NDA service employment)",/contracts templates,GET /contracts/templates,Templates usable to create new doc,PARTIAL,Phase D,Gate D
M06-UI-003,M06 Contracts,UI,Document upload drag-and-drop,/contracts,POST /contracts multipart,Drag file uploads and appears in library,PARTIAL,Phase D,Gate D
M06-UI-004,M06 Contracts,UI,"Metadata tagging (counterparty date value status)",/contracts,Contract metadata fields,All metadata saved and searchable,PARTIAL,Phase D,Gate D
M06-UI-005,M06 Contracts,UI,Version control and check-in/out,/contracts,POST checkout/checkin; document_versions,Checked-out doc locked; checkin creates version,PARTIAL,Phase D,Gate D
M06-UI-006,M06 Contracts,UI,Document approval workflow,/contracts,POST /contracts/:id/approve,Multi-step approval completes or rejects,PARTIAL,Phase D,Gate D
M06-UI-007,M06 Contracts,UI,Expiry and renewal tracking,/contracts expiry tab,GET /contracts/expiring,Expiring contracts listed with countdown,PARTIAL,Phase D,Gate D
M06-UI-008,M06 Contracts,UI,Full-text search within documents,/contracts,Document content index,Search finds text inside PDF/DOCX,FAIL,Phase D,Gate D
M06-UI-009,M06 Contracts,UI,Sharing internal/external permission-based,/contracts share,POST /contracts/:id/share,Share with view/edit; external link expires,PARTIAL,Phase D,Gate D
M06-UI-010,M06 Contracts,UI,E-signature integration (optional),/integrations e-sign,DocuSign API via M11,Send for signature; status updates on sign,PARTIAL,Phase D,Gate D
M06-FEAT-001,M06 Contracts,Feature,Legal document and contract management,N/A,Full CRUD and storage,Documents persist across sessions,PARTIAL,Phase D,Gate D
M06-FEAT-002,M06 Contracts,Feature,Template library,N/A,Template to new document copy,Create contract from NDA template,PARTIAL,Phase D,Gate D
M06-FEAT-003,M06 Contracts,Feature,Version control and approval workflows,N/A,Version chain and approval state machine,Approved doc cannot edit without new version,FAIL,Phase D,Gate D
M06-FEAT-004,M06 Contracts,Feature,Expiry/renewal tracking with alerts,N/A,Cron and M07 notifications,Alert 30 days before expiry,FAIL,Phase D,Gate D
M06-FEAT-005,M06 Contracts,Feature,Secure sharing with permission control,N/A,Tokenized external links; RBAC,External user view-only no edit,FAIL,Phase D,Gate D
M06-FEAT-006,M06 Contracts,Feature,Full-text search across documents,N/A,Content extraction and index,Search returns in-document matches,FAIL,Phase D,Gate D
M07-UI-001,M07 Notifications,UI,Notification center with unread counts,/notifications; Header,GET /notifications; unread count,Unread count accurate; decrements on read,PARTIAL,Phase B,Gate B
M07-UI-002,M07 Notifications,UI,Real-time alert pop-ups,MISSING,WebSocket/SSE notification.push,Pop-up appears without page refresh,FAIL,Phase B,Gate B
M07-UI-003,M07 Notifications,UI,Regulatory update alerts by jurisdiction/topic,/notifications,Filtered by subscription,User sees only subscribed alerts,PARTIAL,Phase B,Gate B
M07-UI-004,M07 Notifications,UI,Compliance deadline reminders,/notifications,Scheduled reminder job,Reminder 7 days before deadline,PARTIAL,Phase B,Gate B
M07-UI-005,M07 Notifications,UI,Document approval requests,/notifications,Event approval.requested,Approver receives in-app notification,PARTIAL,Phase B,Gate B
M07-UI-006,M07 Notifications,UI,Contract expiry alerts,/notifications,Event contract.expiring,Expiry alert with document link,PARTIAL,Phase B,Gate B
M07-UI-007,M07 Notifications,UI,Broadcast message composer Admin,/notifications broadcast,POST /notifications/broadcast,Admin message reaches targeted users,PARTIAL,Phase B,Gate B
M07-UI-008,M07 Notifications,UI,Notification preferences email SMS in-app,/profile-settings; /preferences,PUT /notifications/preferences,User disables email; no email sent,PARTIAL,Phase B,Gate B
M07-UI-009,M07 Notifications,UI,Alert history log,/notifications,GET /notifications/logs,Full delivery history per notification,FAIL,Phase B,Gate B
M07-UI-010,M07 Notifications,UI,Escalation for critical compliance items,/notifications or settings,escalation_rules engine,Overdue critical item escalates to manager,FAIL,Phase B,Gate B
M07-FEAT-001,M07 Notifications,Feature,Multi-channel in-app email SMS,N/A,Email and SMS services,Same alert on enabled channels,FAIL,Phase B,Gate B
M07-FEAT-002,M07 Notifications,Feature,Regulatory and compliance deadline alerts,N/A,Event-driven notification service,Alerts fire on regulation and deadline,FAIL,Phase B,Gate B
M07-FEAT-003,M07 Notifications,Feature,Document and contract workflow notifications,N/A,Workflow event hooks,Approval and expiry events notify correctly,FAIL,Phase B,Gate B
M07-FEAT-004,M07 Notifications,Feature,Broadcast for org announcements,N/A,Bulk notification dispatch,100 users receive broadcast within 1 min,FAIL,Phase B,Gate B
M07-FEAT-005,M07 Notifications,Feature,Configurable notification preferences,N/A,Per-user channel prefs respected,SMS off means no SMS,FAIL,Phase B,Gate B
M07-FEAT-006,M07 Notifications,Feature,Escalation for critical deadlines,N/A,Escalation rule engine and cron,Day 3 overdue notifies manager,FAIL,Phase B,Gate B
M08-UI-001,M08 AI,UI,Legal research assistant chat/query,/ai-intelligence,POST /ai/query; LLM and RAG,Query returns answer in under 30s,PARTIAL,Phase F,Gate F
M08-UI-002,M08 AI,UI,Natural language query,/ai-intelligence research tab,NL query parser,Rwanda data protection query returns relevant answer,PARTIAL,Phase F,Gate F
M08-UI-003,M08 AI,UI,AI-generated summary of laws and obligations,/ai-intelligence,RAG over M03 and M04,Summary cites real KB documents,PARTIAL,Phase F,Gate F
M08-UI-004,M08 AI,UI,Risk assessment for proposed actions,/ai-intelligence risk tab,POST /ai/risk-assessment,Risk score and factors displayed,PARTIAL,Phase F,Gate F
M08-UI-005,M08 AI,UI,Contract clause analysis,/ai-intelligence clause tab,POST /ai/clause-analysis,Risky terms identified with locations,PARTIAL,Phase F,Gate F
M08-UI-006,M08 AI,UI,Document comparison redline,/ai-intelligence compare tab,POST /ai/document-compare,Side-by-side redline of differences,PARTIAL,Phase F,Gate F
M08-UI-007,M08 AI,UI,Confidence score and sources cited,/ai-intelligence,Response includes score and citations,Every answer shows score and at least 1 source,PARTIAL,Phase F,Gate F
M08-UI-008,M08 AI,UI,Feedback helpful/not helpful,/ai-intelligence,POST /ai/feedback,Feedback button records response,PARTIAL,Phase F,Gate F
M08-FEAT-001,M08 AI,Feature,AI-powered legal research and analysis,N/A,LLM service with RAG,Answer grounded in org KB,FAIL,Phase F,Gate F
M08-FEAT-002,M08 AI,Feature,Natural language query interface,N/A,Query retrieval generation,NL query understood correctly,FAIL,Phase F,Gate F
M08-FEAT-003,M08 AI,Feature,Regulatory obligation summaries,N/A,RAG includes obligation data,Summary lists applicable obligations,FAIL,Phase F,Gate F
M08-FEAT-004,M08 AI,Feature,Contract clause risk assessment,N/A,Clause analysis model,Risky non-compliant clauses flagged,FAIL,Phase F,Gate F
M08-FEAT-005,M08 AI,Feature,Document comparison redline,N/A,Diff engine on document text,Accurate added removed modified,FAIL,Phase F,Gate F
M08-FEAT-006,M08 AI,Feature,Transparent sources and confidence scores,N/A,Citation extraction mandatory,No answer without sources,FAIL,Phase F,Gate F
M08-FEAT-007,M08 AI,Feature,Continuous learning from feedback,N/A,Feedback stored; tuning pipeline,Negative feedback reduces repeat errors,FAIL,Phase F,Gate F
M09-UI-001,M09 Analytics,UI,Compliance analytics dashboard,/analytics,GET /analytics/compliance,Live metrics from M04,PARTIAL,Phase E,Gate E
M09-UI-002,M09 Analytics,UI,Obligation completion rates,/analytics,Completion rate query,Rate matches M04 completed/total,PARTIAL,Phase E,Gate E
M09-UI-003,M09 Analytics,UI,Regulatory update impact trends,/analytics,GET /analytics/regulatory/trends,Trend chart from M05 data,PARTIAL,Phase E,Gate E
M09-UI-004,M09 Analytics,UI,Document processing metrics,/analytics,GET /analytics/documents,Metrics from M06,PARTIAL,Phase E,Gate E
M09-UI-005,M09 Analytics,UI,Team performance reports,/analytics,GET /analytics/team,Per-user task completion metrics,PARTIAL,Phase E,Gate E
M09-UI-006,M09 Analytics,UI,Custom report builder interface,/analytics builder,POST /reports,User builds report from sections,PARTIAL,Phase E,Gate E
M09-UI-007,M09 Analytics,UI,Report preview and export PDF Excel,/analytics,POST /reports/:id/generate,Downloadable PDF and XLSX files,FAIL,Phase E,Gate E
M09-UI-008,M09 Analytics,UI,Scheduled report configuration,/analytics schedule,POST /reports/:id/schedule,Report runs on schedule; email sent,PARTIAL,Phase E,Gate E
M09-UI-009,M09 Analytics,UI,Executive summary generator,/analytics executive,GET /analytics/executive-summary,One-page summary with key metrics,PARTIAL,Phase E,Gate E
M09-UI-010,M09 Analytics,UI,Audit readiness reports,/analytics audit,GET /analytics/audit-readiness,Gaps and readiness score displayed,PARTIAL,Phase E,Gate E
M09-FEAT-001,M09 Analytics,Feature,Comprehensive compliance/legal analytics,N/A,Aggregation jobs across modules,All metrics from real data,FAIL,Phase E,Gate E
M09-FEAT-002,M09 Analytics,Feature,Obligation completion and trend tracking,N/A,Time-series obligation data,Monthly trend accurate,FAIL,Phase E,Gate E
M09-FEAT-003,M09 Analytics,Feature,Regulatory update impact measurement,N/A,Impact data from M05,Impact trends reflect assessments,FAIL,Phase E,Gate E
M09-FEAT-004,M09 Analytics,Feature,Team and document performance metrics,N/A,Cross-module metrics,Team metrics match assignments,FAIL,Phase E,Gate E
M09-FEAT-005,M09 Analytics,Feature,Customizable report generation,N/A,Report engine PDF/Excel,Custom report exports correctly,FAIL,Phase E,Gate E
M09-FEAT-006,M09 Analytics,Feature,Scheduled automated reporting,N/A,Cron job runner,Weekly report emailed to recipients,FAIL,Phase E,Gate E
M09-FEAT-007,M09 Analytics,Feature,Executive summaries for management,N/A,Auto-generated summary job,Manager receives accurate summary,FAIL,Phase E,Gate E
M10-UI-001,M10 User Mgmt,UI,User management console Admin only,/user-management,Admin-only route guard,Non-admin gets 403,PARTIAL,Phase E,Gate E
M10-UI-002,M10 User Mgmt,UI,Role and permission assignment,/user-management,PUT /users/:id/permissions,Permissions saved and enforced,PARTIAL,Phase E,Gate E
M10-UI-003,M10 User Mgmt,UI,Organization/business unit structure,/user-management org tab,GET/POST /organization/units,Org tree CRUD works,PARTIAL,Phase E,Gate E
M10-UI-004,M10 User Mgmt,UI,User activity monitoring,/user-management activity,GET /users/:id/activity,Activity log shows real actions,PARTIAL,Phase E,Gate E
M10-UI-005,M10 User Mgmt,UI,Account status active suspended,/user-management,PATCH /users/:id/status,Suspended user cannot login,PARTIAL,Phase E,Gate E
M10-UI-006,M10 User Mgmt,UI,Bulk user import/export,/user-management,POST bulk-import; export endpoint,CSV import creates users; export downloads,PARTIAL,Phase E,Gate E
M10-UI-007,M10 User Mgmt,UI,Access request workflow,/user-management requests,POST/PATCH /access-requests,Request approve grants permissions,PARTIAL,Phase E,Gate E
M10-UI-008,M10 User Mgmt,UI,Permission matrix editor,/user-management matrix,PUT /roles/:id/permissions,Matrix changes affect role users,PARTIAL,Phase E,Gate E
M10-UI-009,M10 User Mgmt,UI,Session management overview,/user-management sessions,GET /users/sessions,Admin sees and can revoke sessions,PARTIAL,Phase E,Gate E
M10-UI-010,M10 User Mgmt,UI,User audit trail viewer,/user-management audit,GET /audit/logs?userId=,Per-user audit history filterable,PARTIAL,Phase E,Gate E
M10-FEAT-001,M10 User Mgmt,Feature,Comprehensive user administration Admins only,N/A,Admin RBAC on all user APIs,Only admin can create/suspend users,FAIL,Phase E,Gate E
M10-FEAT-002,M10 User Mgmt,Feature,RBAC with granular permissions,N/A,Permission middleware per action,CO cannot access user management API,FAIL,Phase E,Gate E
M10-FEAT-003,M10 User Mgmt,Feature,Organizational hierarchy support,N/A,Nested org units,Users belong to dept; reports roll up,PARTIAL,Phase E,Gate E
M10-FEAT-004,M10 User Mgmt,Feature,User activity monitoring for security,N/A,Activity logged on every action,Suspicious activity visible to admin,FAIL,Phase E,Gate E
M10-FEAT-005,M10 User Mgmt,Feature,Account suspension/activation workflow,N/A,Status check on login,Suspended user rejected at login,FAIL,Phase E,Gate E
M10-FEAT-006,M10 User Mgmt,Feature,Bulk user import for businesses,N/A,CSV parser validation rollback,50-user import succeeds with error report,FAIL,Phase E,Gate E
M11-UI-001,M11 Integrations,UI,Integration configuration dashboard,/integrations,GET /integrations,All integrations listed with status,PARTIAL,Phase F,Gate F
M11-UI-002,M11 Integrations,UI,Regulatory API Rwanda Gazette ORINFOR,/integrations regulatory,Connector and sync endpoint,Sync pulls regulations into M05,PARTIAL,Phase F,Gate F
M11-UI-003,M11 Integrations,UI,E-signature DocuSign etc,/integrations e-sign,E-sign provider API,Send document for signature,PARTIAL,Phase F,Gate F
M11-UI-004,M11 Integrations,UI,DMS SharePoint Google Drive,/integrations DMS,OAuth and file sync,Files sync to M06 library,PARTIAL,Phase F,Gate F
M11-UI-005,M11 Integrations,UI,ERP/HRIS for compliance assignments,/integrations ERP,HRIS user/dept sync,Departments sync to M10 org,PARTIAL,Phase F,Gate F
M11-UI-006,M11 Integrations,UI,API key management,/integrations keys,POST/DELETE /api-keys,Create rotate revoke API keys,PARTIAL,Phase F,Gate F
M11-UI-007,M11 Integrations,UI,Integration status monitoring,/integrations health,GET /integrations/:id/health,Live health metrics displayed,PARTIAL,Phase F,Gate F
M11-UI-008,M11 Integrations,UI,Sync schedule configuration,/integrations schedule,PUT /integrations/:id/schedule,Schedule saved; sync runs on time,PARTIAL,Phase F,Gate F
M11-UI-009,M11 Integrations,UI,Error log and resolution,/integrations logs,GET /integrations/:id/logs,Errors logged with details,PARTIAL,Phase F,Gate F
M11-UI-010,M11 Integrations,UI,Test connection interface,/integrations,POST /integrations/:id/test,Test returns pass/fail with message,PARTIAL,Phase F,Gate F
M11-FEAT-001,M11 Integrations,Feature,Seamless external system integration,N/A,Integration adapter framework,At least 1 integration end-to-end,FAIL,Phase F,Gate F
M11-FEAT-002,M11 Integrations,Feature,Regulatory API for automatic updates,N/A,Rwanda Gazette/ORINFOR connector,New gazette auto-creates M05 update,FAIL,Phase F,Gate F
